TIME,GEO,INDUSTRY,EMISSION
2004,Hungary,Agriculture_ forestry and fishing,1770105
2004,Hungary,Mining and quarrying,528432
2004,Hungary,Manufacturing,10889546
2004,Hungary,Electricity_ gas_ steam and air conditioning supply,20686945
2004,Hungary,Water supply_ sewerage_ waste management and remediation activities,262179
2004,Hungary,Wholesale and retail trade_ repair of motor vehicles and motorcycles,1402505
2004,Hungary,Transportation and storage,3793654
2004,Hungary,Accommodation and food service activities,179913
2004,Hungary,Information and communication,556126
2004,Hungary,Financial and insurance activities,401849
2004,Hungary,Real estate activities,720101
2004,Hungary,Professional_ scientific and technical activities,467248
2004,Hungary,Administrative and support service activities,389822
2004,Hungary,Public administration and defence_ compulsory social security,947784
2004,Hungary,Education,526434
2004,Hungary,Human health and social work activities,436121
2004,Hungary,Arts_ entertainment and recreation,105060
2004,Hungary,Other service activities,159835
2004,Hungary,Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,1707
2004,Hungary,Activities of extraterritorial organisations and bodies,0
2004,Malta,Total - All NACE activities,4793217
2004,Malta,Agriculture_ forestry and fishing,9959
2004,Malta,Mining and quarrying,6231
2004,Malta,Manufacturing,51619
2004,Malta,Electricity_ gas_ steam and air conditioning supply,1951654
2004,Malta,Water supply_ sewerage_ waste management and remediation activities,6535
2004,Malta,Wholesale and retail trade_ repair of motor vehicles and motorcycles,33099
2004,Malta,Transportation and storage,2647826
2004,Malta,Accommodation and food service activities,3348
2004,Malta,Information and communication,4263
2004,Malta,Financial and insurance activities,3023
2004,Malta,Real estate activities,2167
2004,Malta,Professional_ scientific and technical activities,6367
2004,Malta,Administrative and support service activities,17648
2004,Malta,Public administration and defence_ compulsory social security,5834
2004,Malta,Education,1996
2004,Malta,Human health and social work activities,3818
2004,Malta,Arts_ entertainment and recreation,1306
2004,Malta,Other service activities,2598
2004,Malta,Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,0
2004,Malta,Activities of extraterritorial organisations and bodies,307
2004,Netherlands,Total - All NACE activities,172097137
2004,Netherlands,Agriculture_ forestry and fishing,9314973
2004,Netherlands,Mining and quarrying,2546419
2004,Netherlands,Manufacturing,46878961
2004,Netherlands,Electricity_ gas_ steam and air conditioning supply,56593880
2004,Netherlands,Water supply_ sewerage_ waste management and remediation activities,7349422
2004,Netherlands,Wholesale and retail trade_ repair of motor vehicles and motorcycles,5239253
2004,Netherlands,Transportation and storage,27900437
2004,Netherlands,Accommodation and food service activities,1118722
2004,Netherlands,Information and communication,343878
2004,Netherlands,Financial and insurance activities,785504
2004,Netherlands,Real estate activities,773401
2004,Netherlands,Professional_ scientific and technical activities,1019609
2004,Netherlands,Administrative and support service activities,2217131
2004,Netherlands,Public administration and defence_ compulsory social security,2601505
2004,Netherlands,Education,949113
2004,Netherlands,Human health and social work activities,1856448
2004,Netherlands,Arts_ entertainment and recreation,670238
2004,Netherlands,Other service activities,756775
